Item,Communality,Primary_Factor,Cross_loading,Low_Communality,Below_threshold
C1,0.5368,F3,False,False,False
C2,0.527,F3,False,False,False
C3,0.4672,F3,False,False,False
C4,0.5386,F3,False,False,False
C5,0.3757,F1,False,False,False
C6,0.5431,F1,False,False,False
C7,0.5159,F1,False,False,False
A1,0.3943,F3,False,False,False
A2,0.583,F4,False,False,False
A3,0.7367,F4,False,False,False
A5,0.2769,F5,False,True,False
A6,0.6233,F5,False,False,False
A7,0.589,F5,False,False,False
HHR1,0.2129,F2,False,True,False
HHR2,0.5678,F2,True,False,False
HHR3,0.6132,F1,False,False,False
HHR4,0.4397,F1,False,False,False
HRR1,0.3651,F5,False,False,False
HRR2,0.3553,F2,True,False,False
HRR4,0.6336,F2,False,False,False
