Item,Communality,Primary_Factor,Cross_loading,Low_Communality,Below_threshold
C1,0.3333,F1,False,False,False
C2,0.1427,F1,False,True,False
C3,0.4662,F1,False,False,False
C4,0.4962,F1,False,False,False
C5,0.3705,F1,True,False,False
C6,0.5622,F1,False,False,False
C7,0.3042,F2,True,False,False
A1,0.3455,F1,False,False,False
A2,0.3144,F1,False,False,False
A3,0.1933,F1,False,True,False
A5,0.2039,F1,False,True,False
A6,0.2037,F2,False,True,False
A7,0.3988,F2,False,False,False
HHR1,0.2404,F2,False,True,False
HHR2,0.4639,F2,False,False,False
HHR3,0.2828,F1,False,True,False
HHR4,0.4141,F1,False,False,False
HRR1,0.4079,F2,False,False,False
HRR2,0.3186,F2,False,False,False
HRR4,0.3111,F2,False,False,False
