,C1,C2,C3,C4,C5,C6,C7
C1,1.0,0.3630732311960194,0.37033440040874754,0.4644342889433766,0.35759203644849086,0.37688312000194224,0.13454900589317068
C2,0.3630732311960194,1.0,0.15232936823434756,0.26936967025069264,0.23309295084834403,0.1691408570301261,0.1654934612926384
C3,0.37033440040874754,0.15232936823434756,1.0,0.4899208548463042,0.16068465827126366,0.32792501701087756,0.11970399499840181
C4,0.4644342889433766,0.26936967025069264,0.4899208548463042,1.0,0.26184928819502556,0.4106897509649953,0.1287797440833416
C5,0.35759203644849086,0.23309295084834403,0.16068465827126366,0.26184928819502556,1.0,0.4303863903284136,0.45272838949526345
C6,0.37688312000194224,0.1691408570301261,0.32792501701087756,0.4106897509649953,0.4303863903284136,1.0,0.28049148409819047
C7,0.13454900589317068,0.1654934612926384,0.11970399499840181,0.1287797440833416,0.45272838949526345,0.28049148409819047,1.0
