,HRR1,HRR2,HRR3,HRR4
HRR1,1.0,0.31314838427131514,0.23060973026297266,0.2096876229890255
HRR2,0.31314838427131514,1.0,0.2751718004751968,0.2605260098967022
HRR3,0.23060973026297266,0.2751718004751968,1.0,0.2950759602556639
HRR4,0.2096876229890255,0.2605260098967022,0.2950759602556639,1.0
