Item,Communality,Primary_Factor,Cross_loading,Low_Communality,Below_threshold
C1,0.4564,F1,False,False,False
C2,0.3831,F1,False,False,False
C3,0.4802,F1,False,False,False
C4,0.4413,F1,False,False,False
C5,0.3921,F3,True,False,False
C6,0.4788,F3,False,False,False
C7,0.502,F3,True,False,False
A1,0.4264,F1,False,False,False
A2,0.5678,F4,False,False,False
A3,0.744,F4,False,False,False
A5,0.2623,F1,False,True,False
A6,0.2263,F2,False,True,False
A7,0.5152,F2,False,False,False
HHR1,0.2343,F2,False,True,False
HHR2,0.5457,F2,True,False,False
HHR3,0.6014,F3,False,False,False
HHR4,0.4347,F3,False,False,False
HRR1,0.3978,F2,False,False,False
HRR2,0.3998,F2,True,False,False
HRR4,0.4196,F2,False,False,False
